,pid1,pid2,cnt,throughput_avg,throughput_std,total_bytes,total_timespent,city1,city2,fips_code1,fips_code2,continent_code1,continent_code2,isp1,isp2,min_ts,max_ts,cnt_neighbour
548,0c2041d1-341a-4904-a0a3-c9ad25c4843b,a4c13d8c-ecc3-43d5-ab12-c5c0f3c2286b,49,509.7191403362308,172.6258974918979,62873592,138134,Algeciras,Ravenna,SP,IT,Southern Europe,Southern Europe,Vodafone Spain,Telecom Italia,2020-07-03 20:25:08.457000+00:00,2020-07-03 21:02:01.429000+00:00,6
4472,5f96ba2b-5b7f-4be3-a592-de1b653ed1e3,b6d7cfa3-d267-4a84-8100-653c9633abaa,83,322.3860523130484,90.764683322497,104820904,347892,New York,Surbiton,US,UK,Northern America,Northern Europe,RCN,BT,2020-07-03 14:34:02.376000+00:00,2020-07-03 15:40:41.179000+00:00,26
7101,9a835935-379c-466d-8f5e-7bb3754688a9,15799939-b043-44d1-8bcf-8f9c19532c58,2,24.920964088534703,10.553166483048347,275420,11974,Toulouse,Constantine,FR,AG,Western Europe,Northern Africa,Wifirst S.A.S.,Algerie Telecom,2020-07-03 17:07:50.995000+00:00,2020-07-03 17:09:12.866000+00:00,16
11085,f484ac62-6e70-4d9a-90ec-213ea3b04d9b,27a05f8b-a5b1-4901-ba1e-03c9af0cf90c,40,53.41182492581977,15.908996521945387,6309656,125183,Paris,Ghardaïa,FR,AG,Western Europe,Northern Africa,Expereo International BV,Algerie Telecom,2020-07-03 19:57:41.445000+00:00,2020-07-03 20:08:06.166000+00:00,11
8375,b834ff38-cc1b-4c5e-b2ca-aabb944d6471,1dff2d27-4efe-40a6-8782-e7f47050daec,33,707.7765262713535,267.76591819642607,43020792,71455,Barcelona,Alcoy,SP,SP,Southern Europe,Southern Europe,Orange Espana,Telefonica de Espana,2020-07-03 23:32:45.399000+00:00,2020-07-03 23:46:40.551000+00:00,7
11341,fb2e3ae3-da5d-4182-be78-ee64f65a804c,ae3b82ac-6164-4cd3-a86a-d1276fa6f449,34,229.16955633682616,31.52700346414552,44034864,195574,Doha,Paris,QA,FR,Western Asia,Western Europe,OOREDOO,Free SAS,2020-07-03 19:58:57.413000+00:00,2020-07-03 20:31:51.916000+00:00,17
8839,c256eb0d-8193-4e89-93f6-d3cefd841c2a,ab97bb26-9541-4035-8039-be8dee19f321,30,1008.4730703540979,671.9359464996116,38757328,57870,Fontenay-sous-Bois,Deventer,FR,NL,Western Europe,Western Europe,SFR,KPN,2020-07-03 21:55:49.376000+00:00,2020-07-03 22:15:04.772000+00:00,6
10970,f3432315-7dd1-4b11-8f5b-14504cce277b,a3b46e8e-7bc4-41b0-beef-97041201b441,7,300.74851567321434,74.08657245683527,9005576,31547,Madrid,Brussels,SP,BE,Southern Europe,Western Europe,Digi Spain Telecom S.l.u.,Proximus Pickx,2020-07-03 21:11:27.601000+00:00,2020-07-03 21:22:24.438000+00:00,6
4258,5bd30595-be0f-4376-a7c2-c9054f1fe99c,f5baa482-a496-4457-b653-12eefc4b2fd6,11,127.53349838806086,28.363661055631532,4895144,40578,Marrakesh,Antwerp,MO,BE,Northern Africa,Western Europe,Maroc Telecom,Scarlet Belgium,2020-07-03 16:11:00.243000+00:00,2020-07-03 16:14:16.309000+00:00,6
4968,6bdb6141-904f-4bf0-9670-e295420b7231,bd10cda1-679e-4283-919d-9bb95e6dee0f,6,597.8110688650456,162.3287422815088,7732816,14001,Agadir,Milan,MO,IT,Northern Africa,Southern Europe,Maroc Telecom,Telecom Italia,2020-07-03 17:13:12.690000+00:00,2020-07-03 17:13:43.850000+00:00,17
